rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Conflicting value propositions,HIGH,Homepage,Low,0.5-2 days,6,10,yes,conversion,Two different primary headlines dilute the core message about reliability and simplicity.,Two different primary headlines dilute the core message about reliability and simplicity.,h1: Reliable Internet That Just Works Anywhere in the U.S.; notes: Single combined headline.,The page's main headline reads “Reliable Internet That Works Anywhere in the U.S”. | The page's main headline reads “Internet That Just Works”.,Message Clarity,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_1_conflicting_value_propositions.html
2,Pricing page error,URGENT,Pricing & Plans,Medium,2-5 days,5,10,yes,conversion,"Direct navigation to /pricing returns an error, dead-ending users and preventing them from seeing plans.","Direct navigation to /pricing returns an error, dead-ending users and preventing them from seeing plans.",notes: Fix route or redirect to working page.,"""/pricing"": ""error""",Funnel Path,0.4,1.6,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 2.0-8.0% relative lift",124891,,finding_2_pricing_page_error.html
3,Two-step form before value,HIGH,Pricing & Plans,Medium,2-5 days,5,10,yes,conversion,"Users must complete two sequential forms before seeing any plan details, adding friction.","Users must complete two sequential forms before seeing any plan details, adding friction.",cta: Single coverage check; notes: Reduce to one step or show plans/pricing first.,,Funnel Path,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_3_two_step_form_before_value.html
4,Pricing inconsistency across pages,HIGH,Pricing & Plans,Medium,2-5 days,5,10,yes,trust,Conflicting one-time fees and monthly rates across plan pages undermine price clarity.,Conflicting one-time fees and monthly rates across plan pages undermine price clarity.,notes: Standardize pricing across all pages.,Prices shown on the page: $99.95/month $129.95/month $99.95/mo $0.00 $99.95 $99.99 | A section heading reads “$0.00 (one-time)”. | A section heading reads “$99.99 (one-time)”.,"Message Clarity, Trust & Social Proof, Pricing & Cost Transparency, Navigation & Information Scent",0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_4_pricing_inconsistency_across_pages.html
5,Ambiguous one-time costs,MEDIUM,Pricing & Plans,Low,0.5-2 days,5,10,yes,trust,"One-time amounts are shown without labeling what they cover, creating uncertainty about equipment ownership.","One-time amounts are shown without labeling what they cover, creating uncertainty about equipment ownership.",notes: Label each one-time fee and state equipment ownership.,A section heading reads “$0.00 (one-time)”. | A section heading reads “$99.99 (one-time)”. | Prices shown on the page: $99.95/month $129.95/month $99.95/mo $0.00 $99.95 $99.99,Pricing & Cost Transparency,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_5_ambiguous_one_time_costs.html
6,Repeated identical headings,MEDIUM,Pricing & Plans,Low,0.5-2 days,5,10,yes,traffic,Repeated identical headings across pages and sections confuse visitors about their location.,Repeated identical headings across pages and sections confuse visitors about their location.,"h1: Unique headings per page; notes: Use descriptive, unique headings.",The page's main headline reads “Let's Get You the Right Internet”. | The page's main headline reads “What Best Describes Your Time on the Road?”. | The page's main headline reads “How Do You Use the Internet at Home?”. | A section heading reads “How It Works”.,Navigation & Information Scent,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_6_repeated_identical_headings.html
7,Competing coverage CTAs,HIGH,All Pages,Medium,2-5 days,4,10,yes,conversion,Multiple competing coverage-check CTAs split user attention and obscure the primary action.,Multiple competing coverage-check CTAs split user attention and obscure the primary action.,cta: Single 'Check Coverage' CTA; notes: Consolidate all coverage entry points into one primary CTA.,"7 distinct calls to action compete on the same page: “CHECK COVERAGE”, “CHECK IF IT WORKS AT MY ADDRESS”, “SEE MY OPTIONS”, “GET STARTED”, “START CHAT”, “SEE WHAT I QUALIFY FOR”, “CHECK MY COVERAGE”.",Funnel Path,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_7_competing_coverage_ctas.html
8,Vague qualification claim,MEDIUM,Rural Internet Page (/Pages/Rural-,Medium,2-5 days,4,10,yes,conversion,"Claim of universal qualification lacks specifics, leaving offer unclear.","Claim of universal qualification lacks specifics, leaving offer unclear.","notes: Provide specific coverage, speeds, and plan options.",A section heading reads “You qualify for everything”.,Message Clarity,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_8_vague_qualification_claim.html
9,Unsupported trust badge,MEDIUM,/Pages/Rural-Internet,Medium,2-5 days,4,10,yes,trust,Trust badge 'SHOP WITH CONFIDENCE' lacks supporting guarantee or security details.,Trust badge 'SHOP WITH CONFIDENCE' lacks supporting guarantee or security details.,"notes: Add guarantee terms, return window, security certifications.",A section heading reads “SHOP WITH CONFIDENCE”.,Trust & Social Proof,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_9_unsupported_trust_badge.html
10,Duplicate page titles,MEDIUM,All Pages,Medium,2-5 days,4,10,yes,traffic,Identical page titles across pages weaken information scent and confuse navigation.,Identical page titles across pages weaken information scent and confuse navigation.,notes: Unique descriptive titles per page.,The browser title reads “nomadinternet.com”.,Navigation & Information Scent,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_10_duplicate_page_titles.html
